"method","AUROC","AUPRC","TPR","FPR","MCC","dir_acc","sign_acc","runtime","status","noise_sd","n_pos","rep_id","sweep"
"GENIE3",0.61831550802139,0.348555564711724,0.409090909090909,0.191176470588235,0.217914438502674,0.636363636363636,NA,0.190000000000055,"ok",0.05,30,7,"noise"
"idopNetwork",0.719786096256685,0.534572971304978,0.529411764705882,0.145454545454545,0.383957219251337,0.588235294117647,0.615384615384615,144.98,"ok",0.05,30,8,"noise"
"WGCNA",0.375668449197861,0.189991424310057,0.181818181818182,0.264705882352941,-0.0828877005347594,NA,NA,0.550000000000182,"ok",0.05,30,8,"noise"
"GENIE3",0.597593582887701,0.363743237392823,0.227272727272727,0.25,-0.0227272727272727,0.727272727272727,NA,0.2199999999998,"ok",0.05,30,8,"noise"
"idopNetwork",0.769886363636364,0.407285168365032,0.416666666666667,0.159090909090909,0.257575757575758,0.833333333333333,0.636363636363636,115.74,"ok",0.05,30,9,"noise"
"WGCNA",0.386363636363636,0.199813672270301,0.227272727272727,0.25,-0.0227272727272727,NA,NA,0.449999999999818,"ok",0.05,30,9,"noise"
"GENIE3",0.586229946524064,0.349091768693622,0.318181818181818,0.220588235294118,0.0975935828877005,0.636363636363636,NA,0.200000000000273,"ok",0.05,30,9,"noise"
"idopNetwork",0.727272727272727,0.432416065508097,0.5,0.136363636363636,0.363636363636364,0.583333333333333,0.6,70.9499999999998,"ok",0.05,30,10,"noise"
"WGCNA",0.438502673796791,0.211670814171312,0.181818181818182,0.264705882352941,-0.0828877005347594,NA,NA,0.490000000000236,"ok",0.05,30,10,"noise"
"GENIE3",0.595588235294118,0.273770371534231,0.318181818181818,0.220588235294118,0.0975935828877005,0.636363636363636,NA,0.150000000000091,"ok",0.05,30,10,"noise"
"idopNetwork",0.732954545454545,0.519966448821692,0.5,0.136363636363636,0.363636363636364,0.583333333333333,0.875,30.6999999999998,"ok",0.05,30,11,"noise"
"WGCNA",0.474598930481283,0.238401963573851,0.227272727272727,0.25,-0.0227272727272727,NA,NA,0.4699999999998,"ok",0.05,30,11,"noise"
"GENIE3",0.672459893048128,0.32449602834743,0.363636363636364,0.205882352941176,0.157754010695187,0.681818181818182,NA,0.190000000000055,"ok",0.05,30,11,"noise"
"idopNetwork",0.791666666666667,0.451897266206801,0.416666666666667,0.159090909090909,0.257575757575758,0.833333333333333,0.454545454545455,70.52,"ok",0.05,30,12,"noise"
"WGCNA",0.381016042780749,0.198146416790021,0.181818181818182,0.264705882352941,-0.0828877005347594,NA,NA,0.449999999999818,"ok",0.05,30,12,"noise"
"GENIE3",0.618983957219251,0.378988991038316,0.318181818181818,0.220588235294118,0.0975935828877005,0.681818181818182,NA,0.170000000000073,"ok",0.05,30,12,"noise"
"idopNetwork",0.729411764705882,0.419219249581793,0.470588235294118,0.163636363636364,0.306951871657754,0.705882352941177,0.615384615384615,197.16,"ok",0.05,30,13,"noise"
"WGCNA",0.421122994652406,0.21302489647016,0.181818181818182,0.264705882352941,-0.0828877005347594,NA,NA,0.420000000000073,"ok",0.05,30,13,"noise"
"GENIE3",0.665106951871658,0.351958325938074,0.318181818181818,0.220588235294118,0.0975935828877005,0.590909090909091,NA,0.190000000000055,"ok",0.05,30,13,"noise"
"idopNetwork",0.766098484848485,0.551906176288634,0.416666666666667,0.159090909090909,0.257575757575758,0.833333333333333,0.454545454545455,79.79,"ok",0.05,30,14,"noise"
"WGCNA",0.391711229946524,0.198566864652087,0.227272727272727,0.25,-0.0227272727272727,NA,NA,0.449999999999818,"ok",0.05,30,14,"noise"
"GENIE3",0.592914438502674,0.369928688162168,0.272727272727273,0.235294117647059,0.0374331550802139,0.545454545454545,NA,0.200000000000273,"ok",0.05,30,14,"noise"
"idopNetwork",0.714015151515152,0.489323646137418,0.25,0.204545454545455,0.0454545454545455,0.583333333333333,0.5,63.6499999999996,"ok",0.05,30,15,"noise"
"WGCNA",0.616310160427808,0.332956704093856,0.363636363636364,0.205882352941176,0.157754010695187,NA,NA,0.440000000000055,"ok",0.05,30,15,"noise"
"GENIE3",0.640374331550802,0.31663642779476,0.363636363636364,0.205882352941176,0.157754010695187,0.636363636363636,NA,0.170000000000073,"ok",0.05,30,15,"noise"
"idopNetwork",0.712121212121212,0.410426533467289,0.416666666666667,0.159090909090909,0.257575757575758,0.583333333333333,0.333333333333333,47.5800000000004,"ok",0.05,30,16,"noise"
"WGCNA",0.529411764705882,0.268067577569588,0.272727272727273,0.235294117647059,0.0374331550802139,NA,NA,0.469999999999345,"ok",0.05,30,16,"noise"
